Profit;popularity;Day_of_week;runtime;vote_average;vote_count
-7586085;9.371811;6;86;5,4;60
-9000000;7.029126;6;126;6,5;60
-959412;6.174435;4;110;5,4;60
-4600000;3.531877;6;97;5,8;60
8008844;3.232447;2;197;7,3;60
-678046;6.009644;6;145;5,6;61
3840000;5.609755;7;131;6,8;61
18645546;3.334804;6;106;6,1;61
-9000000;6.677926;6;96;6,8;61
3800000;8.535178;7;103;4,3;61
-43533912;4.700024;5;100;5,2;62
-9400000;7.553773;6;98;5,4;62
-19982521;5.727602;5;113;5,8;62
14593409;4.482714;6;91;6,7;62
2162497;4.45544;6;88;6,7;62
10608570;4.137237;6;133;5,3;63
11678778;7.902536;4;158;6,2;63
-14306109;3.960098;4;108;4,8;63
21750000;7.973109;5;171;6,7;63
-7147128;7.433574;6;112;5,8;63
-2;4.857028;6;90;7,4;63
79000;0.212443;5;111;6;63
22385320;3.721858;6;192;6,1;64
-300000;4.270596;1;81;6,4;64
-200000;0.713906;5;80;7,3;64
10078331;4.563698;6;111;5,7;64
321952;3.277287;2;117;7,9;64
-3400000;5.815881;6;120;5,8;65
-9539000;5.294319;1;119;6,7;65
25170057;7.558959;6;91;5,9;65
6361217;4.495256;4;106;4,6;65
-797116;4.52363;6;108;6,3;66
-8199698;2.850896;3;104;5;66
-4346385;8.976738;6;114;5,9;66
32590886;6.717994;4;118;6,8;66
7702438;5.500324;6;92;6,6;66
-3469952;5.013575;2;103;7,2;66
9401952;3.771652;2;109;7,1;66
-4300000;5.643023;6;98;6,8;66
7500000;6.82919;4;112;7,1;66
-899095;5.974156;7;100;6,8;66
33905110;3.409764;5;225;7,4;66
-600000;10.861167;4;83;6;66
8382659;4.602185;6;195;7,1;67
19187653;9.548391;6;163;6,9;67
12609995;5.771479;6;115;6,1;67
-3889987;3.258422;6;108;6,5;67
52182787;3.826685;6;125;7,2;67
14500000;4.742537;4;94;5,7;67
34460850;5.699058;7;83;6,6;67
7232628;8.452666;5;107;6,7;67
-4500000;2.503612;3;86;6,4;67
1919197;4.757625;1;96;8;67
-32071279;8.59075;6;127;6,6;68
-14631103;4.352422;2;96;5;68
-8891180;5.833687;6;90;5,5;68
-6500000;7.028946;3;130;4,5;68
-19111857;4.436792;6;119;6;69
6575282;4.961306;6;87;4,7;69
15754284;4.928777;6;108;6,4;69
630045;4.59841;6;84;3,3;69
25911240;4.844451;6;84;5;70
5982579;8.406025;2;96;4,8;70
-28576611;2.808428;4;104;6,2;71
-30318235;3.770161;6;192;7,1;71
-30206504;3.87823;6;130;7,1;71
-9000000;4.641006;5;137;6,8;71
6911670;4.504377;4;121;6,7;72
31905889;5.164281;6;111;5,6;72
7187375;6.459787;5;90;5,8;72
10342161;4.207456;6;84;8;72
1000000;4.49029;2;133;6,8;72
-5500000;mar.87;6;82;6,6;72
4200000;2.930058;1;124;7,1;72
4750000;7.70019;3;118;7,2;72
18507567;6.96858;6;121;6,9;72
3835130;3.091077;2;110;7,1;73
-24993601;8.842722;5;99;5,1;73
-6876149;6.618149;4;141;5,5;73
-14518911;4.358255;4;122;5,8;73
-3575530;4.66723;6;86;5,3;73
-6953512;8.207425;6;108;7,2;73
-6800000;4.665309;1;101;7,9;73
-6000000;4.957014;7;90;7,1;73
-2533556;7.79068;5;104;4,8;73
623528;5.223096;4;98;5,3;73
-518580;4.0971;2;96;5,8;73
-34620598;6.067212;6;104;5,7;74
47070412;6.501815;3;106;5,6;74
12430766;7.063053;6;95;4,9;74
12750246;4.053017;4;91;6,5;74
-6000000;12.434688;5;110;4,6;74
8900031;6.22577;4;95;5,9;75
-32589251;6.760922;2;93;4,3;75
24450736;4.580081;6;97;3,3;75
16017403;4.146752;6;95;5,8;75
1303682;4.820166;6;104;5,8;75
-193175;6.978907;2;99;6,6;75
-43191450;6.397388;6;88;5;76
-3237295;4.781538;5;104;5,1;76
-1297136;4.492859;6;92;4,9;76
-8444012;4.365196;6;95;6,1;77
-16168652;9.244181;5;105;6,7;77
51231524;5.882208;6;110;6;77
8269963;5.960149;6;135;6,9;77
-4567658;3.03091;4;99;6,4;77
2000000;5.975604;5;143;6,7;77
9726954;7.958831;6;106;7;77
33522221;5.961119;6;129;7,3;77
876302;4.749885;1;104;5,6;77
-1100000;7.717237;6;110;4,4;77
-69590483;8.098369;6;93;4,3;78
-9662523;9.36146;6;84;4,7;78
-13525082;7.05145;2;139;6,9;78
-5245102;4.770195;6;116;5,8;78
9663238;9.933926;5;84;5,1;79
38300000;3.353176;6;159;7;79
5788365;3.426314;3;126;6;79
7250000;9.903992;4;92;6,7;79
-28149899;6.80692;5;94;5,1;80
-31506110;5.201688;6;85;6,3;80
-20619874;3.426555;6;118;5,7;80
5529194;7.809701;4;117;5,9;80
-1573149;6.091951;6;90;6,6;80
5761917;6.162872;3;124;5,4;81
-39458477;3.314004;6;114;5,9;81
-40392392;5.361699;5;139;6,4;81
-15667676;4.516953;6;128;5,9;81
-2325876;5.133744;6;101;6,4;81
10948425;4.932893;6;112;6,4;81
-7000000;11.400229;6;90;5,8;81
-3548372;5.588652;4;105;7,6;81
-13792870;4.002579;6;113;6,1;82
-15565274;12.869436;6;98;6,1;82
9507551;7.821438;5;134;7,1;82
6012000;5.344815;5;133;3,8;82
45800064;9.175762;6;138;5,9;83
-2567837;5.596835;6;101;5,3;83
-10027033;7.871686;4;93;6,7;83
-9982528;5.145655;4;111;7;83
-5449980;4.475007;6;95;5,3;84
-9975218;7.497306;2;90;5,8;84
-10355245;5.841285;2;111;6,5;84
27663038;5.690619;1;94;6,2;84
37823676;5.159407;5;123;7,3;85
-12069815;8.93941;3;100;5;85
-5762530;6.373316;7;118;6,5;85
-7470234;6.932221;6;116;6,7;85
20726956;8.410688;5;93;6,5;85
13956509;11.436405;6;96;5,7;85
-26085092;5.347936;6;108;5,9;86
-13953505;4.898424;6;149;6,1;86
571408;6.736274;6;98;6,8;86
-3703816;6.265659;2;106;6,6;86
-10;9.70276;4;102;7,5;86
14905359;7.058868;3;99;5;86
5900000;3.832858;6;121;6,4;86
-1609341;5.261065;4;104;5,8;86
-40865180;8.981427;6;88;3,9;87
-5967749;6.349218;2;86;4,9;87
7130611;9.188431;2;171;6,5;87
-650;1.352222;6;90;5,6;87
-23300000;6.454634;3;102;5,6;88
-3450523;8.237336;7;110;5,9;88
7728118;2.027393;6;124;7,4;88
62511123;6.92205;4;114;6,1;88
-1945793;7.502934;6;97;6;88
621951;0.692497;6;87;6,7;88
-15865707;6.487344;5;105;6;89
12793283;5.894163;1;94;4,9;89
-11999977;10.536092;3;119;4,6;89
5900000;5.224593;4;116;7,9;89
24450000;9.541688;2;120;6,5;89
-35676167;11.387408;2;160;6,3;90
25000000;5.529035;6;254;6,6;90
-799075;6.961736;6;115;6,8;90
-13150858;8.842869;4;113;6,7;90
-3500000;6.396936;4;91;2;90
76820;4.337685;7;87;6,9;90
6546368;3.284903;6;91;7,3;90
-69833498;8.923215;6;132;6,8;91
-28716363;9.27875;6;95;4,2;91
-23439194;3.746806;6;102;4,8;91
-22315211;7.039189;5;134;6,8;91
12197398;12.601677;4;89;6,6;91
2230000;5.348446;4;118;6,5;91
37424067;4.992475;3;120;7;91
-17566085;3.476966;6;108;5,7;92
-7709024;6.589193;4;87;5,8;92
7008462;7.047975;1;109;6,2;92
-13900000;7.701186;6;90;4,8;92
-3100000;7.453347;5;111;5,9;92
801508;6.728882;5;97;6,3;92
-5000;7.447714;7;86;6,7;92
-950000;7.310879;2;87;7,4;92
-4600000;6.368933;4;100;5,9;93
-2000000;6.86302;5;90;5,7;93
-11416317;6.546037;5;108;6;94
-3100025;7.161051;5;99;7,2;94
4282851;5.003615;6;97;6,8;94
49144;3.636634;6;108;7,4;94
6879971;2.504169;5;94;5,1;94
-45549103;7.768223;1;125;5,7;95
-9685973;7.864011;7;107;4,9;95
2928871;9.717392;2;100;6,7;95
-4222535;2.062087;6;97;6;95
25966555;5.897391;6;140;7;95
-5724443;8.403859;6;79;6,3;95
-3000000;4.682881;6;110;5,6;95
700000;5.164423;4;92;4,6;95
32230907;9.799357;4;74;7,7;95
16424533;6.967857;6;107;6,7;96
3929123;6.130096;6;99;6,6;96
