Winner;Film
1;Bernard Herrmann
1;Frank Churchill, Oliver Wallace
1;"Music by Jerome Kern; Lyrics by Oscar Hammerstein II"
1;20th Century-Fox
1;Walt Disney, Producer
1;Metro-Goldwyn-Mayer
1;Metro-Goldwyn-Mayer
1;General Service Sound Department, Jack Whitney, Sound Director
1;"Photographic Effects by Farciot Edouart, Gordon Jennings; Sound Effects by Louis Mesenkop"
1;Herman J. Mankiewicz, Orson Welles
1;Harry Segall
1;Sidney Buchman, Seton I. Miller
1;Kukan
1;Target for Tonight
1;Fantasia
1;Fantasia
1;Yankee Doodle Dandy
1;Johnny Eager
1;Mrs. Miniver
1;Mrs. Miniver
1;"Art Direction: Richard Day, Joseph Wright; Interior Decoration: Thomas Little"
1;"Art Direction: Richard Day, Joseph Wright; Interior Decoration: Thomas Little"
1;Joseph Ruttenberg
1;Leon Shamroy
1;William Wyler
1;United States Navy
1;Australian News & Information Bureau
1;Artkino
1;United States Army Special Services
1;Daniel Mandell
1;Max Steiner
1;Ray Heindorf, Heinz Roemheld
1;Music and Lyrics by Irving Berlin
1;Metro-Goldwyn-Mayer
1;Walt Disney, Producer
1;Paramount
1;Warner Brothers
1;Warner Brothers Studio Sound Department, Nathan Levinson, Sound Director
1;"Photographic Effects by Gordon Jennings, Farciot Edouart, William L. Pereira; Sound Effects by Louis Mesenkop"
1;Emeric Pressburger
1;Ring Lardner, Jr., Michael Kanin
1;Arthur Wimperis, George Froeschel, James Hilton, Claudine West
1;In Which We Serve
1;Andy Hardy
1;Watch on the Rhine
1;The More the Merrier
1;The Song of Bernadette
1;For Whom the Bell Tolls
1;"Art Direction: James Basevi, William Darling; Interior Decoration: Thomas Little"
1;"Art Direction: John B. Goodman, Alexander Golitzen; Interior Decoration: Russell A. Gausman, Ira S. Webb"
1;Arthur Miller
1;Hal Mohr, W. Howard Greene
1;Michael Curtiz
1;British Ministry of Information
1;United States Navy
1;George Amy
1;Alfred Newman
1;Ray Heindorf
1;"Music by Harry Warren; Lyrics by Mack Gordon"
1;Warner Brothers
1;Frederick Quimby, Producer
1;Grantland Rice, Producer
1;Jerry Bresler and Sam Coslow, Producers
1;RKO Radio Studio Sound Department, Stephen Dunn, Sound Director
1;"Photographic Effects by Fred Sersen; Sound Effects by Roger Heman"
1;William Saroyan
1;Norman Krasna
1;Julius J. Epstein, Philip G. Epstein, Howard Koch
1;Going My Way
1;Going My Way
1;Gaslight
1;None but the Lonely Heart
1;"Art Direction: Cedric Gibbons, William Ferrari; Interior Decoration: Edwin B. Willis, Paul Huldschinsky"
1;"Art Direction: Wiard Ihnen; Interior Decoration: Thomas Little"
1;Joseph LaShelle
1;Leon Shamroy
1;Leo McCarey
1;United States Navy
1;United States Marine Corps
1;Barbara McLean
1;Max Steiner
1;Morris Stoloff, Carmen Dragon
1;"Music by James Van Heusen; Lyrics by Johnny Burke"
1;Paramount
1;Frederick C. Quimby, Producer
1;Jerry Fairbanks, Producer
1;Gordon Hollingshead, Producer
1;20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director
1;"Photographic Effects by A. Arnold Gillespie, Donald Jahraus, Warren Newcombe; Sound Effects by Douglas Shearer"
1;Leo McCarey
1;Lamar Trotti
1;Frank Butler, Frank Cavett
1;The Lost Weekend
1;A Tree Grows in Brooklyn
1;Mildred Pierce
1;National Velvet
1;"Art Direction: Wiard Ihnen; Interior Decoration: A. Roland Fields"
1;"Art Direction: Hans Dreier, Ernst Fegte; Interior Decoration: Sam Comer"
1;Harry Stradling
1;Leon Shamroy
1;Billy Wilder
1;The Governments of Great Britain and the United States of America
1;Gordon Hollingshead, Producer
1;Robert J. Kern
1;Miklos Rozsa
1;Georgie Stoll
1;"Music by Richard Rodgers; Lyrics by Oscar Hammerstein II"
1;Paramount
1;Frederick Quimby, Producer
1;"Herbert Moulton, Producer; Jerry Bresler, Executive Producer"
1;Gordon Hollingshead, Producer
1;RKO Radio Studio Sound Department, Stephen Dunn, Sound Director
1;"Photographic Effects by John Fulton; Sound Effects by Arthur W. Johns"
1;Charles G. Booth
1;Richard Schweizer
1;Charles Brackett, Billy Wilder
1;The Best Years of Our Lives
1;The Best Years of Our Lives
1;To Each His Own
1;The Razor's Edge
1;"Art Direction: Lyle Wheeler, William Darling; Interior Decoration: Thomas Little, Frank E. Hughes"
1;"Art Direction: Cedric Gibbons, Paul Groesse; Interior Decoration: Edwin B. Willis"
1;Arthur Miller
1;Charles Rosher, Leonard Smith, Arthur Arling
1;William Wyler
1;United States Department of War
1;Daniel Mandell
1;Hugo Friedhofer
1;Morris Stoloff
1;"Music by Harry Warren; Lyrics by Johnny Mercer"
1;Samuel Goldwyn Productions
1;Frederick Quimby, Producer
1;Gordon Hollingshead, Producer
1;Gordon Hollingshead, Producer
1;Columbia Studio Sound Department, John Livadary, Sound Director
1;Special Visual Effects by Thomas Howard
1;Clemence Dane
1;Muriel Box, Sydney Box
1;Robert E. Sherwood
1;Henry V
1;The Best Years of Our Lives
1;A Double Life
1;Miracle on 34th Street
1;The Farmer's Daughter
1;Gentleman's Agreement
1;"Art Direction: John Bryan; Set Decoration: Wilfred Shingleton"
1;"Art Direction: Alfred Junge; Set Decoration: Alfred Junge"
1;Guy Green
1;Jack Cardiff
1;Elia Kazan
1;"Sid Rogell, Executive Producer; Theron Warth and Richard O. Fleischer, Producers"
1;United Nations Division of Films and Visual Information
1;Francis Lyon, Robert Parrish
1;Dr. Miklos Rozsa
1;Alfred Newman
1;"Music by Allie Wrubel; Lyrics by Ray Gilbert"
1;20th Century-Fox
1;Edward Selzer, Producer
1;Herbert Moulton, Producer
1;Irving Allen, Producer
1;Samuel Goldwyn Studio Sound Department, Gordon Sawyer, Sound Director
1;"Special Visual Effects by A. Arnold Gillespie, Warren Newcombe; Special Audible Effects by Douglas Shearer, Michael Steinore"
1;Valentine Davies
1;Sidney Sheldon
1;George Seaton
1;Song of the South
1;Hamlet
1;The Treasure of the Sierra Madre
1;Johnny Belinda
1;Key Largo
1;"Art Direction: Roger K. Furse; Set Decoration: Carmen Dillon"
1;"Art Direction: Hein Heckroth; Set Decoration: Arthur Lawson"
1;William Daniels
1;Joseph Valentine, William V. Skall, Winton Hoch
