budget;popularity;Years_old;revenue;runtime;title;vote_average;vote_count
19000000;15.67747;16;39267515;85;Dumb and Dumberer: When Harry Met Lloyd;4.1;210
25000000;14.604911;7;119772232;104;Parental Guidance;5.7;210
25000000;8.127728;14;13411957;107;Lords of Dogtown;7;210
12500000;11.828068;5;49002684;100;About Last Night;6;210
10000000;14.979375;10;7022728;96;The Joneses;6.1;210
4200000;12.540624;15;32000000;114;Night Watch;6.3;210
1000000;8.887411;7;444575;115;The Act of Killing;7.5;210
500000;12.203041;8;171760;95;Kill List;6;210
500000;11.578545;16;8679814;88;The Station Agent;7.4;210
15000000;10.9071;15;14867514;103;Raise Your Voice;6;211
3000000;16.900433;8;748453;86;Hobo with a Shotgun;5.7;211
35000000;10.73522;12;18317151;96;Walk Hard: The Dewey Cox Story;6.6;212
22000000;13.960945;14;17709155;116;Joyeux Noël;7.2;212
7000000;13.635828;9;382946;106;Hesher;6.7;212
50000000;10.755847;24;152022101;109;Congo;5;213
40000000;16.282962;13;23937870;93;Stormbreaker;5.1;213
19000000;8.584398;15;69631118;95;Without a Paddle;5.3;214
6000000;5.119593;5;14348529;98;Barbecue;5.8;214
4200000;11.743085;35;38376497;114;Red Dawn;6.4;215
35000000;12.495436;18;29400000;123;The Pledge;6.5;215
15000000;10.484642;28;30102717;110;Double Impact;5.3;215
8000000;10.791954;9;3453043;98;Wild Target;6.4;215
2000000;13.223111;47;18016290;88;Everything You Always Wanted to Know About Sex *But Were Afraid to Ask;6.6;215
1700000;13.315383;46;8844595;93;Battle for the Planet of the Apes;5.5;215
87000000;14.824166;16;148336445;141;Seabiscuit;6.7;216
35000000;9.789027;12;63215872;92;Lions for Lambs;6;216
7000000;14.741589;5;36433975;89;Devil's Due;4.4;216
3000000;11.158167;33;19472057;86;Friday the 13th Part VI: Jason Lives;5.7;216
11000000;7.559192;30;49797148;107;Major League;6.6;217
10000000;10.409155;8;4417580;83;Jeff, Who Lives at Home;6.1;217
2000000;14.617944;14;5048693;104;The Proposition;7.1;218
18000000;21.638673;5;266586800;93;The Prince;4.6;218
12000000;11.510281;18;31155435;93;How High;6.3;218
12806000;17.363739;15;38535221;125;The Sea Inside;7.2;219
750000;14.386807;8;78396;102;The Innkeepers;5.4;219
80000000;11.187696;9;201584141;80;Yogi Bear;5.2;220
50000000;11.596207;18;100020092;113;Don't Say a Word;6;220
40000000;14.818718;10;12206028;101;Whiteout;5.3;220
20000000;17.145287;11;36620508;101;My Best Friend's Girl;5.4;220
20000000;15.66135;10;17280326;108;12 Rounds;5.7;220
75000000;11.873856;21;14567883;99;Soldier;6.1;221
30000000;11.916389;22;51376861;95;Mortal Kombat: Annihilation;3.8;221
37000000;11.374306;33;37962774;110;Howard the Duck;5.1;221
32000000;13.590677;14;97918663;95;Are We There Yet?;5.2;221
15000000;7.424798;15;29331068;89;Confessions of a Teenage Drama Queen;5.1;221
1000000;14.017809;6;4235151;104;The Lunchbox;7.3;221
60000000;10.004564;24;35431113;103;Money Train;5.4;222
27000000;14.788073;8;85564310;89;Spy Kids: All the Time in the World;4.4;222
20000000;10.098722;13;48548426;83;Date Movie;3.6;222
120000000;11.137655;9;48668907;121;How Do You Know;4.9;223
50000000;13.576765;22;50068310;121;Absolute Power;6.4;223
22000000;13.410919;7;77112176;94;Diary of a Wimpy Kid: Dog Days;6;223
35000000;15.50957;6;27330000;141;Mandela: Long Walk to Freedom;6.5;224
23000000;12.777008;32;51881013;89;Jaws: The Revenge;3.5;224
2000000;16.668854;7;14400000;100;Hit & Run;5.5;224
16000000;11.807269;8;40492759;91;The Roommate;5.3;224
12000000;10.19041;7;66351;95;Deadfall;5.6;224
60000000;15.352807;13;77920346;108;The Sentinel;5.8;225
51000000;10.430832;13;72779000;90;Barnyard;5.3;225
35000000;3.74263;14;68915888;105;Guess Who;5.5;225
24000000;15.237142;5;70181428;105;Think Like a Man Too;6.4;225
22000000;10.259461;14;22400154;83;Deuce Bigalow: European Gigolo;4.7;225
8000000;13.661289;37;21028755;120;Creepshow;6.7;226
60000000;14.113066;15;61347797;97;After the Sunset;6;226
1500000;13.788054;14;11098131;81;The Squid and the Whale;6.9;226
70000000;14.086292;17;65977295;116;Bad Company;5.4;228
75000000;10.54544;18;13596911;95;Osmosis Jones;5.9;228
13000000;11.045593;17;37664855;94;Halloween: Resurrection;4.5;228
12000000;11.150261;5;101332962;99;Heaven is for Real;6;229
2500000;12.030456;37;14400000;98;Halloween III: Season of the Witch;5;229
15000000;10.194097;14;47175038;88;The Wedding Date;6.2;230
25000000;12.739721;18;80936232;83;Jimmy Neutron: Boy Genius;5.6;231
1000000;14.805264;23;24475416;135;Sling Blade;7.4;231
8000000;13.944645;16;1477676;80;The Triplets of Belleville;7.3;231
46000000;12.971122;23;100860818;117;Courage Under Fire;6.2;232
48000000;14.587367;26;20915465;104;Super Mario Bros.;4;232
33000000;10.651202;6;9494789;105;The Young and Prodigious T.S. Spivet;6.7;232
12000000;14.719886;9;42345360;145;My Name Is Khan;7.7;232
35000000;12.343507;39;27107960;111;Flash Gordon;6.1;233
60000000;17.299333;10;31720158;109;The Soloist;6.6;234
10000000;19.524972;57;50100000;178;The Longest Day;7.2;234
22000000;12.54949;9;24188922;108;Fair Game;6.5;235
40000000;12.229516;22;45916769;135;The Rainmaker;6.7;235
35000000;14.051852;14;19478106;76;Valiant;5.2;235
15000000;12.576381;13;49469904;92;Notes on a Scandal;6.9;235
27000000;17.567332;36;21500000;193;The Right Stuff;7.3;235
9000000;14.098952;12;24538513;123;Sicko;7.3;235
50000000;12.46525;23;75000000;109;The Ghost and the Darkness;6.4;236
25000000;12.837116;16;56489558;101;Cradle 2 the Grave;5.8;236
18000000;13.628601;38;12000000;108;Blow Out;7.3;236
16500000;10.74648;12;13620075;108;Sydney White;6;236
1700000;18.828683;47;9700000;88;Conquest of the Planet of the Apes;6.1;236
2600000;14.013414;35;32980880;91;Friday the 13th: The Final Chapter;5.9;237
3000000;10.230583;14;18637690;94;Waiting...;6.2;237
65000000;18.281798;19;69700000;104;The Kid;6;238
35000000;12.677505;11;32483410;101;Untraceable;5.9;238
30000000;16.541791;14;27610873;118;Goal!: The Dream Begins;6.6;238
30000000;12.821329;31;38413606;126;Midnight Run;7.2;238
27000000;11.870301;11;44352417;117;The Sisterhood of the Traveling Pants 2;6;238
21000000;14.329891;8;72417394;99;Diary of a Wimpy Kid: Rodrick Rules;6.3;238
10000000;14.905357;12;33000000;100;Run, Fatboy, Run;6.2;238
220000;14.269792;27;2040920;81;El Mariachi;6.6;238
35000000;11.644243;17;45479110;101;Queen of the Damned;5.4;239
30000000;10.703602;11;31148328;130;Pride and Glory;6.3;240
25000000;16.238961;11;14109284;87;Disaster Movie;3;240
26000000;11.942862;13;14821658;136;Little Children;6.9;240
7500000;17.318839;24;32392047;91;Rumble in the Bronx;6.5;240
2000000;17.639478;58;7600000;134;The Hustler;7.6;240
700000;12.378031;13;4911725;107;Half Nelson;6.5;240
70000000;14.244518;17;32287044;125;Hart's War;5.9;241
1500000;12.2624;80;9600000;129;Mr. Smith Goes to Washington;7.9;241
62000000;13.218008;11;41819064;87;The Love Guru;4.3;242
29000000;14.993169;20;50041732;103;Stigmata;6;242
17700000;15.976335;18;30987695;91;Joe Dirt;5.5;242
1500000;14.504326;7;1165882;101;The Lords of Salem;5.1;242
30000000;11.19602;30;45892212;125;Black Rain;6.2;243
15000000;11.429607;13;10903846;116;Black Snake Moan;6.6;243
15000000;13.568302;7;8138788;106;Promised Land;6;243
13000000;10.475368;4;1784763;91;The Vatican Tapes;4.6;243
45000000;13.707183;10;57881056;86;Aliens in the Attic;5.3;244
27000000;16.785866;11;17286299;110;How to Lose Friends & Alienate People;6.2;244
27000000;17.329269;23;25023434;113;Kingpin;6.7;244
35000000;8.737058;20;40263020;112;Blast from the Past;6.3;245
8000000;12.654051;30;22168359;89;A Nightmare on Elm Street 5: The Dream Child;5.5;245
19800000;11.693272;18;87754044;137;Gosford Park;6.8;246
18000000;16.520516;6;10501938;90;Getaway;4.9;246
27000000;11.678561;20;56870414;82;Lake Placid;5.5;247
11000000;12.854853;54;111858363;197;Doctor Zhivago;7.4;247
41000000;9.419726;8;7448385;100;The Big Year;5.6;248
60000000;15.219263;15;13395939;103;Alfie;5.6;248
5000000;14.779537;38;42365581;116;Time Bandits;6.6;249
10000000;10.892398;38;85300000;106;Stripes;6.5;249
68000000;12.948627;20;29762011;121;Mystery Men;5.7;250
16000000;13.832464;6;5867686;117;The Immigrant;6.2;250
4000000;14.042041;18;44909486;111;Monster's Ball;6.5;250
3000000;12.68672;10;2357852;123;Fish Tank;6.9;250
80000000;16.848899;19;39459427;126;The Legend of Bagger Vance;6.3;251
47000000;7.859226;29;103738726;103;Dick Tracy;5.9;251
4500000;14.570359;9;3606395;104;After.Life;5.4;251
1500000;11.064228;18;373967;100;Session 9;6.2;251
1000000;14.139004;13;46243000;100;An Inconvenient Truth;6.7;251
500000;9.108949;9;98017;85;Rubber;5.7;251
15000000;6.216203;30;30050028;114;Road House;6.3;252
35000000;14.503568;12;69307224;91;License to Wed;5.2;253
200000;13.971674;23;4505922;94;Swingers;6.8;253
55000000;14.414937;6;110000000;91;Free Birds;5.7;254
75000000;20.697556;20;19598588;109;The Astronaut's Wife;5.4;254
10000000;17.611971;9;2995811;106;The Runaways;6.3;254
4000000;14.206525;37;36690067;95;Friday the 13th Part III;5.7;254
44000000;7.89147;19;21400000;118;Battlefield Earth;3;255
40000000;14.199933;5;67347013;134;Jersey Boys;6.8;255
5000000;19.336367;11;16174377;102;Sunshine Cleaning;6.5;255
55000000;17.231675;23;121969216;133;Executive Decision;5.8;256
45000000;14.513305;24;20350754;128;Showgirls;4.9;256
14000000;14.480628;31;34670720;119;Dangerous Liaisons;7;257
20000000;14.857884;9;45636368;113;The Debt;6.3;257
60000000;16.493576;11;50877145;93;The Tale of Despereaux;5.8;258
36000000;19.854932;16;44350926;109;A Man Apart;5.8;258
30000000;19.143721;8;14460000;63;Winnie the Pooh;6.8;258
16000000;20.59148;5;3442853;122;The Homesman;6.4;258
13000000;9.499325;31;44726644;107;Young Guns;6.6;258
25000000;17.312433;5;38307627;124;Million Dollar Arm;6.6;259
6244087;14.970654;50;638641;145;The Wild Bunch;7.6;259
20000000;14.370111;34;18432000;121;Ladyhawke;6.8;260
2159280;13.265432;6;10700000;80;Ida;7.1;260
64000000;12.421504;13;101595121;98;Little Man;5.3;261
23000000;15.676123;12;29541790;124;In the Valley of Elah;6.6;261
10000000;14.447723;14;91196419;101;White Noise;5.6;261
8000000;13.517017;10;10629321;118;The Boondock Saints II: All Saints Day;5.9;261
32000000;13.611544;9;42045846;102;Going the Distance;6;262
22000000;19.068175;16;68296293;139;Open Range;7;262
1000000;13.152822;7;101758490;83;The Devil Inside;4.6;262
100000000;15.625949;17;35168966;138;K-19: The Widowmaker;6.1;264
38000000;11.500783;17;51801187;114;Enough;6.2;264
2500000;18.30961;48;12348905;98;Escape from the Planet of the Apes;6.3;264
3200000;11.735287;57;8000000;123;The Man Who Shot Liberty Valance;7.4;265
5300000;13.034602;17;3897799;122;The Spanish Apartment;7;266
80000000;13.800656;19;33463969;106;Red Planet;5.4;267
45000000;18.186026;13;82800000;105;Firewall;5.6;267
15000000;12.929525;10;39421467;105;Halloween II;5.1;267
4000000;14.961629;34;14237000;91;The Return of the Living Dead;7.3;267
50000000;16.167093;17;56714147;120;Murder by Numbers;6;268
15000000;4.688212;13;66966987;87;When a Stranger Calls;5.4;268
70000000;13.267631;17;33561137;97;I Spy;5.2;269
65000000;16.803457;28;17218080;100;Hudson Hawk;5.4;269
50000000;12.31101;14;69425966;92;The Adventures of Sharkboy and Lavagirl;4.4;269
20000000;19.819893;16;135680000;72;The Jungle Book 2;5.6;269
9000000;12.268143;43;25000000;119;Logan's Run;6.6;269
3500000;18.025206;34;34000000;96;Day of the Dead;6.9;270
15000000;13.581966;22;64256513;97;Wag the Dog;6.7;270
60000000;13.155999;13;17800000;140;Flyboys;6.3;271
20000000;15.131867;7;16863583;93;The Cold Light of Day;4.8;271
17000000;25.112567;5;3758328;120;Escobar: Paradise Lost;6.1;271
10000000;17.592299;4;85978266;122;The Second Best Exotic Marigold Hotel;6.3;272
11000000;16.856231;28;34872033;89;Freddy's Dead: The Final Nightmare;5.1;272
3860000;19.947265;6;64076736;130;The Grandmaster;6.3;273
18000000;13.916583;6;22309223;116;The Railway Man;6.7;273
7000000;17.717681;14;54600000;93;Good Night, and Good Luck.;6.8;273
50000000;20.415572;14;42093706;130;Oliver Twist;6.7;274
30000000;14.376463;14;25473093;105;Dark Water;5.3;274
50000000;21.312186;25;16671505;99;Baby's Day Out;5.8;274
7000000;17.697042;10;39462438;112;Crazy Heart;6.8;274
38000000;10.794175;28;34416893;140;The Doors;6.7;275
30000000;18.165957;17;33013805;113;Confessions of a Dangerous Mind;6.6;275
325000;11.871424;85;4500000;105;It Happened One Night;7.7;275
45000000;20.374308;15;21009180;113;Flight of the Phoenix;5.7;276
58000000;14.403696;10;85280250;103;Did You Hear About the Morgans?;5.1;276
50000000;14.382253;17;119137784;124;Unfaithful;6.3;276
21000000;13.847872;8;970816;91;The Beaver;6.3;276
20000000;14.136476;4;43967255;111;Max;6.8;276
21000000;13.906611;13;26193068;145;Black Book;7.2;277
45000000;17.746719;25;117615211;119;The Client;6.4;278
70000000;19.439386;20;177841558;105;Double Jeopardy;6.2;278
40000000;19.372805;18;65754228;119;Sweet November;6.4;278
40000000;14.729386;15;26155781;98;The Whole Ten Yards;5.5;278
5500000;19.127239;46;15700000;105;High Plains Drifter;7.4;278
31000000;13.864975;34;128499205;161;Out of Africa;7;279
2000000;18.224326;4;1477002;98;The Diary of a Teenage Girl;6.8;279
1500000;13.291991;24;7412216;91;Kids;6.8;279
43000000;18.65632;17;68696770;84;The Sweetest Thing;5.3;280
17000000;11.927667;16;55534455;94;The Lizzie McGuire Movie;5.7;280
7000000;17.113408;31;72500000;99;A Nightmare on Elm Street 4: The Dream Master;5.8;281
12000000;6.035152;7;96070507;122;Think Like a Man;6.9;281
12000000;11.135734;11;56309766;98;The Eye;5.5;281
7000000;17.681707;26;116700000;121;The Piano;7.1;281
7000000;11.700578;23;560069;91;Bottle Rocket;6.8;281
1800000;14.884756;68;8000000;125;A Streetcar Named Desire;7.6;281
27000000;13.308127;25;101646581;99;Timecop;5.5;282
75000000;13.318744;19;215663859;124;Vertical Limit;5.9;283
20000000;13.906944;13;39143839;102;The Grudge 2;5.2;283
14000000;13.65494;12;19777647;112;The Diving Bell and the Butterfly;7.4;283
70000000;14.486311;13;154937680;134;Dreamgirls;6.6;284
50000000;20.58862;23;60209334;107;Chain Reaction;5.3;284
40000000;15.283444;7;41863726;95;The Guilt Trip;5.4;284
30000000;12.967137;7;114281051;100;Hope Springs;5.8;284
28000000;11.859396;16;58795814;102;Agent Cody Banks;5;284
72000000;15.433244;18;27642707;131;The Last Castle;7;285
25000000;15.333575;3;1397284;98;Jane Got a Gun;5.4;285
650000;12.496261;9;33245;98;Stake Land;6.2;285
50000000;19.226763;16;42792561;98;Basic;6.2;286
30000000;13.268936;8;2527904;129;Machine Gun Preacher;6.4;286
25000000;15.505137;28;78000000;88;Teenage Mutant Ninja Turtles II: The Secret of the Ooze;5.8;286
2000000;16.930914;9;7871522;109;Inside Job;7.7;286
50000000;15.213484;13;49111202;121;The Black Dahlia;5.7;287
12000000;12.653831;15;24829644;87;Seed of Chucky;4.9;287
85000000;14.132583;13;144000000;97;Charlotte's Web;5.8;288
30000000;16.698316;8;15395087;130;Anonymous;6.3;288
20000000;15.804814;13;37597471;97;The Covenant;5.2;288
20000000;14.031377;14;12482775;101;The Weather Man;6;289
90000000;15.350451;22;140807547;107;The Devil's Own;5.9;290
20000000;15.341196;17;109862682;72;Return to Never Land;6.1;290
15000000;19.913961;11;3533227;98;The Midnight Meat Train;6;290
14000000;12.159009;21;72527595;99;Urban Legend;5.6;290
13000000;17.371327;5;45300000;89;Earth to Echo;5.7;290
14000000;16.742972;32;320145693;119;Fatal Attraction;6.6;291
11000000;11.220643;18;16951798;91;Jason X;4.5;291
13800000;17.3393;33;52293982;119;The Color of Money;6.7;291
10000000;13.455373;36;33697647;91;The Outsiders;6.9;291
14000000;14.730796;25;18090181;112;New Nightmare;6.4;291
16000000;18.790221;6;318982;100;Adore;6.1;291
2000000;14.08251;11;11125849;90;Waltz with Bashir;7.8;291
80000000;14.530946;20;90874570;74;Fantasia 2000;7;292
53000000;18.61472;14;95226116;118;Be Cool;5.4;292
60000000;12.867352;21;186883563;170;The Horse Whisperer;6.7;292
20000000;20.495749;11;27640028;110;Lakeview Terrace;5.9;292
6500000;15.580335;30;37295445;120;Do the Right Thing;7.6;292
31000000;16.736734;15;41512007;98;Wimbledon;6;293
17000000;18.790102;10;29536299;133;Brooklyn's Finest;6.2;293
20500000;17.112498;11;10089373;102;Punisher: War Zone;5.6;294
12000000;16.40512;7;35485056;100;Arbitrage;6.1;294
5000000;8.753409;25;3049135;99;Heavenly Creatures;7;294
20000000;16.663797;3;46069568;107;Risen;5.7;295
15000000;13.237835;10;40105542;99;All About Steve;4.7;295
35000000;14.029012;8;59901913;112;Something Borrowed;5.9;296
28000000;13.145205;18;14010832;98;Ghosts of Mars;4.8;296
80000000;16.715631;16;68514844;90;Looney Tunes: Back in Action;5.6;297
65000000;14.646884;17;172855065;104;The Santa Clause 2;5.5;297
50000000;14.231899;15;170128460;107;Shall We Dance?;5.9;297
20000000;12.643703;12;16974459;105;Death Sentence;6.5;297
50000000;14.993459;16;55495563;105;Out of Time;6.1;298
25000000;16.936576;18;64437847;98;Kiss of the Dragon;6.4;298
11000000;11.227087;13;72778712;95;Jackass Number Two;6.4;298
80000000;14.564667;22;17626234;177;The Postman;6.1;299
45000000;17.270539;17;94935764;89;Changing Lanes;5.9;299
17000000;19.045146;16;63102666;104;Jeepers Creepers 2;5.5;299
20000000;16.074397;11;20211394;115;Appaloosa;6.3;299
18000000;17.683563;6;20275812;111;Labor Day;6.7;299
15000000;13.706357;10;100734718;101;My Bloody Valentine;5.3;299
3600000;21.119209;50;44785053;113;Midnight Cowboy;7.4;299
45000000;14.513243;7;30353232;101;Alex Cross;5.1;300
5500000;15.015271;5;5483299;120;Wish I Was Here;6.4;300
25000000;14.613152;7;8784318;137;On the Road;5.5;301
22000000;17.772518;10;35424826;108;The Informant!;6;301
68000000;20.913852;22;118063304;116;The Saint;5.9;302
75000000;24.353302;18;67631903;123;Bandits;6.2;302
43000000;19.043286;19;80049764;136;Finding Forrester;7;302
30250000;15.585138;24;115101622;105;Get Shorty;6.4;302
4000000;18.422323;36;92921203;95;Flashdance;6.1;302
55000000;15.274137;12;74237563;114;Elizabeth: The Golden Age;6.6;303
18000000;18.492655;16;62646763;94;Honey;6;303
70000000;14.780634;8;67112664;111;The Dilemma;5.2;304
25000000;14.17009;5;28831145;109;Draft Day;6.5;304
22000000;13.786075;18;84772742;84;The Animal;4.6;304
13000000;17.632446;6;18000000;107;Admission;5.4;304
25000000;15.26213;33;79817939;94;The Golden Child;5.6;304
90000000;11.356079;21;69131860;92;Babe: Pig in the City;5.2;305
32000000;14.733513;17;55157539;119;The Mothman Prophecies;6.1;305
22000000;14.725467;26;10696210;104;RoboCop 3;4.2;305
6500000;16.574756;6;2401510;116;The East;6.5;305
7000000;19.301432;16;16829545;89;House of 1000 Corpses;6;306
35000000;20.27704;13;10496317;93;Bandidas;5.8;307
9500000;21.230737;9;120000;104;Trust;6.6;307
46000000;19.643365;19;107196498;99;Shaft;5.5;308
17000000;9.832326;20;65535067;88;Deuce Bigalow: Male Gigolo;5.5;308
13000000;16.681567;29;35763605;84;Child's Play 2;5.8;308
2600000;19.02965;12;553198;92;Timecrimes;7;308
55000000;19.143321;24;127600435;134;First Knight;5.9;311
30000000;18.706504;14;35294470;109;Assault on Precinct 13;6;311
1000000;14.518598;39;21378361;89;The Fog;6.4;311
10000000;16.78512;36;20766616;103;The Dead Zone;6.9;311
800000;11.205726;10;1984662;91;Dead Snow;6.1;311
85000000;9.895061;19;183611771;100;102 Dalmatians;5.1;313
75000000;14.44381;19;36754634;94;Titan A.E.;6.3;313
45000000;16.582709;25;170362582;110;The Specialist;5.5;313
32000000;15.901137;8;83615414;107;Big Mommas: Like Father, Like Son;5.3;313
30000000;16.883429;12;16930884;108;88 Minutes;5.7;313
65000000;15.858629;23;89456761;120;The Long Kiss Goodnight;6.5;314
20000000;17.165039;9;80547866;82;Vampires Suck;4.2;315
5000000;16.890285;18;33616692;106;Y Tu Mamá También;7.3;315
1250000;16.517777;38;21722776;87;Friday the 13th Part 2;6;315
130000;15.611857;15;54667954;79;Open Water;5.4;315
50000000;14.808304;5;80383290;112;Muppets Most Wanted;6.2;316
50000000;15.98212;14;110803676;104;The Dukes of Hazzard;5.1;316
36000000;3.698276;22;74000000;155;Amistad;6.8;316
4000000;12.062371;8;1104682;88;Red State;5.9;316
6000000;19.331884;7;31081;89;Maniac;6;316
16500000;18.236284;12;37311672;120;Becoming Jane;6.9;317
80000000;11.22268;16;19480739;116;Timeline;5.4;318
100000000;16.759252;15;108103450;136;Hidalgo;6.5;318
8900000;15.079993;4;4100000;93;Heist;5.6;318
30000000;19.212552;14;42886719;107;A Lot Like Love;6.5;318
17000000;17.062117;32;19300000;90;Superman IV: The Quest for Peace;4.1;318
22000000;17.7091;14;57479076;108;Derailed;6.1;319
60000000;14.84856;11;39031337;103;The Spirit;4.7;320
35000000;16.832312;4;14431253;91;Unfinished Business;5;320
5000000;12.68514;7;9206470;100;Bernie;6.5;320
8000000;21.735068;35;69821334;111;Splash;6.1;321
35000000;16.343317;10;27409889;105;The Young Victoria;7;322
18000000;16.027955;3;88923251;94;My Big Fat Greek Wedding 2;5.5;322
4500000;20.403344;37;27092880;90;Fast Times at Ridgemont High;7;322
32000000;15.039407;23;152036382;123;Phenomenon;6.2;323
21000000;14.518708;12;54926886;117;We Own the Night;6.5;323
12500000;13.939054;27;10725228;100;Glengarry Glen Ross;7.5;323
12000000;21.933822;49;89800000;172;Patton;7.3;323
777000;19.326115;46;140000000;110;American Graffiti;6.9;324
35000000;19.286099;25;99423521;102;Street Fighter;4.1;325
35000000;14.699342;15;36098382;102;Jersey Girl;5.8;325
25000000;19.428994;8;34942188;81;The Sitter;5.4;325
23000000;11.183197;18;36642838;97;Joy Ride;6.3;325
25000000;17.339852;10;10589102;122;The Bad Lieutenant: Port of Call - New Orleans;6;326
20000000;6.064638;12;86865564;86;Epic Movie;3.2;326
73000000;20.790703;21;103891409;98;Snake Eyes;5.8;327
57000000;22.894898;14;52034889;123;Elizabethtown;6.1;327
28000000;15.794946;12;92601050;104;No Reservations;6.1;327
19000000;17.971883;8;35387212;108;A Very Harold & Kumar Christmas;6;328
1800000;14.838986;9;67738090;87;The Last Exorcism;5.6;328
37000000;14.353279;11;100076342;96;Nim's Island;5.6;330
30000000;19.106154;14;30536013;135;The New World;6.4;330
25000000;19.750059;19;91036760;115;Romeo Must Die;6;330
12000000;6.044161;20;21133087;99;Stir of Echoes;6.5;330
135000000;17.88953;14;76932943;121;Stealth;4.9;331
80000000;19.500893;11;163733697;88;Four Christmases;5.3;331
63000000;16.791058;8;183953723;95;Hop;5.5;331
17000000;19.311572;13;9500000;122;Running Scared;7;331
20000000;14.947588;3;21164799;92;Fifty Shades of Black;4.3;331
84000000;17.783361;19;123307945;106;Nutty Professor II: The Klumps;4.7;332
70000000;18.264635;21;164000000;98;Six Days Seven Nights;5.6;332
45000000;14.813057;11;42487390;99;Bangkok Dangerous;5;332
40000000;18.14218;6;74597643;89;Escape from Planet Earth;5.7;332
48000000;16.000178;21;77745568;123;Out of Sight;6.5;333
27000000;17.193659;15;21148829;106;Mindhunters;6.3;333
90000000;19.224754;15;102000000;93;The Stepford Wives;5.4;334
30000000;14.179538;21;82150642;124;Elizabeth;7.1;334
20000000;20.82778;12;22222308;124;Reign Over Me;7.1;334
11000000;16.003958;18;13110448;100;Frailty;7;334
9500000;14.105392;6;7800000;88;Bad Words;6.4;334
730000;18.644023;67;8000000;85;High Noon;7.6;334
40000000;19.833664;22;87840042;96;Spawn;5;336
19500000;15.012237;4;34854990;111;Secret in Their Eyes;6.2;336
10000000;17.078656;13;7177143;126;Rescue Dawn;6.9;336
1288000;18.426825;79;6000000;130;Rebecca;7.7;336
11000000;15.864928;24;39363635;122;Dead Man Walking;7.3;337
75000000;18.70031;12;119000410;102;Charlie Wilson's War;6.5;338
75000000;15.142701;21;46683377;104;Practical Magic;6.3;338
36000000;23.380757;36;160000000;134;Never Say Never Again;5.8;338
15000000;17.571533;34;146292009;154;The Color Purple;7.7;338
15000000;19.113278;13;123384128;103;The Queen;6.8;338
4000000;22.987897;5;2365467;118;Joe;6.5;338
48000000;18.102572;20;124305181;113;The Thomas Crown Affair;6.6;339
30000000;20.063165;8;108609310;108;Sanctum;5.8;339
12000000;8.083995;11;40855419;89;Quarantine;5.5;339
2000000;20.331593;16;4601043;100;Thirteen;6.7;339
62000000;18.096884;19;127666415;116;U-571;6.1;340
115000000;18.714197;17;77628265;134;Windtalkers;5.8;341
25000000;14.562197;9;36993168;99;Don't Be Afraid of the Dark;5.4;341
24000000;16.146572;28;41895491;137;The Fisher King;7.2;341
19000000;17.952817;11;18755936;109;Sex Drive;6;342
18000000;19.234672;8;47088990;106;Soul Surfer;6.9;342
1500000;15.017068;6;3566225;104;The To Do List;5.5;342
35000000;16.830184;7;2106557;96;Stolen;5.1;344
500000;17.002096;46;3000000;110;Mean Streets;7.2;345
34000000;18.39217;12;95608995;90;TMNT;6;345
28000000;14.639324;9;45236543;94;The Spy Next Door;5.5;345
27000000;18.913;22;60527873;115;Kiss the Girls;6.2;345
5000000;14.752587;17;64282312;87;Jackass: The Movie;6.1;345
3200000;11.933449;9;5332926;105;Beginners;6.8;347
40000000;16.424807;10;28169671;109;Cirque du Freak: The Vampire's Assistant;5.5;348
7300000;16.829837;10;10329747;103;Harry Brown;6.7;348
5000000;17.845161;5;6833445;100;The Green Inferno;5;349
25000000;14.340095;21;50671850;89;Bride of Chucky;5.5;350
15000000;21.857387;10;35097815;92;Whatever Works;6.8;350
7500000;19.585801;30;145793296;99;Driving Miss Daisy;7;350
14000000;20.792603;10;22852638;98;A Perfect Getaway;6.2;351
70000000;20.089933;21;116672912;116;The Siege;6;352
60000000;18.735024;18;93375151;87;Cats & Dogs;5;352
65000000;16.865782;20;117758500;93;Blue Streak;6.1;352
17000000;20.786616;55;72070731;170;My Fair Lady;7.4;352
16500000;20.898711;24;135000000;136;Sense and Sensibility;7.2;352
13000000;9.969624;18;91038276;112;Save the Last Dance;6.3;352
60000000;16.278022;29;157920733;107;Days of Thunder;5.9;353
2000000;15.557144;20;11540607;118;Boys Don't Cry;7.2;353
120000000;17.060695;11;93945766;135;Speed Racer;5.7;354
40000000;21.661028;27;107458785;128;A League of Their Own;6.7;354
22000000;23.218144;24;110627965;114;The Net;5.6;354
14000000;16.618874;4;12314651;93;Hot Tub Time Machine 2;5;354
6000000;15.639016;21;58000000;99;Sliding Doors;6.5;354
5000000;17.304055;32;44793222;96;A Nightmare on Elm Street 3: Dream Warriors;6.5;354
23000000;21.189028;32;43984230;163;The Last Emperor;7.4;355
15000000;21.095489;9;75700498;92;Diary of a Wimpy Kid;5.9;355
5000000;21.343093;5;2450846;112;Kill the Messenger;6.6;355
30000000;14.726338;6;17137302;115;Space Pirate Captain Harlock;6.5;356
21000000;17.746981;12;41170784;123;Freedom Writers;7.5;356
5000000;17.028252;8;25562924;86;Apollo 18;5;356
35000000;16.782471;13;42064105;118;A Good Year;6.5;357
15000000;20.05902;10;16633035;111;Whip It;6.7;357
910000;16.015599;65;9600000;108;On the Waterfront;8;357
