budget;popularity;Years_old;revenue;runtime;title;vote_average;vote_count
439000;1.933366;86;2281000;89;42nd Street;6.1;37
9000000;3.951041;20;34573780;120;The Best Man;6.8;38
22000000;3.809131;18;5271666;104;Glitter;3.4;38
3800000;3.490215;54;14873;123;Major Dundee;6.2;38
450000;4.442355;13;973525;84;Conversations with Other Women;6.2;38
14000000;6.733485;9;21409028;103;Our Family Wedding;5.7;39
1700000;2.079125;20;1943649;98;Happy, Texas;5.5;39
1000000;2.833166;56;37600000;128;Tom Jones;6.1;39
40000000;3.415534;19;36037909;94;Hanging Up;5;40
5000000;3.943706;4;4842699;121;90 Minutes in Heaven;5.4;40
2500000;4.624691;11;107559;90;Sleep Dealer;6;40
30000000;4.065212;8;108348;125;1911;5;41
35000000;4.189378;37;69701637;114;The Best Little Whorehouse in Texas;5.9;41
20000000;3.011205;54;15473333;199;The Greatest Story Ever Told;6.5;41
15000000;12.185204;12;20380;93;The Good Night;5.7;41
9000000;8.738737;25;4350774;79;PCU;6;41
8000000;6.500835;5;53086;112;Aloft;5.1;41
7000000;3.120016;6;1310673;170;Hard to Be a God;6.7;41
3000000;6.734965;59;10400000;146;Elmer Gantry;7.3;41
2000000;4.261509;13;622806;96;Sherrybaby;6.3;41
210000;2.043661;66;5000000;80;The Beast from 20,000 Fathoms;6.7;41
7400000;3.246903;13;17000000;193;Kabhi Alvida Naa Kehna;6.1;42
8000000;5.069095;13;12671300;116;Bon Cop Bad Cop;6.5;42
4100000;4.028875;66;36000000;135;The Robe;6.4;42
70000000;6.682006;6;18662027;88;Legends of Oz: Dorothy's Return;5.9;43
16000000;3.021835;19;15427192;96;Drowning Mona;5.4;43
12000000;4.330428;13;5542025;86;For Your Consideration;5.9;43
1500000;3.618646;14;712294;111;The Ballad of Jack and Rose;6.5;43
1000000;3.322721;20;10037390;107;Godzilla 2000;5.9;43
50000000;8.189406;24;9851610;95;Jade;5.2;44
27000000;3.123583;21;76000000;113;The Newton Boys;5.9;44
40000000;4.100942;10;28972508;89;Shorts;5.1;44
6000000;3.561198;20;6852450;101;200 Cigarettes;6.1;44
6000000;4.148253;18;2025238;95;Novocaine;6;44
75000000;4.842626;20;29000000;90;The Out-of-Towners;5;45
25000000;3.888776;17;10719357;99;Abandon;4.6;45
10000000;4.267466;8;303877;127;In the Land of Blood and Honey;5.8;45
6500000;5.483531;15;1548955;96;A Home at the End of the World;6.8;45
5500000;5.033065;5;5000000;120;Miss Julie;5.9;45
28000000;1.767479;22;8345056;86;A Simple Wish;5.5;46
14000000;4.519523;20;18535191;97;An Ideal Husband;6.3;46
4000000;4.541908;31;3468572;110;Talk Radio;6.7;46
3500000;3.281509;60;12800000;149;The Nun's Story;7.4;46
25000000;2.77255;23;17193231;98;Fled;5.2;47
14000000;3.650857;26;27515786;109;Poetic Justice;6.9;47
10000000;3.079862;29;16153593;129;Mo' Better Blues;6.3;47
7000000;5.33861;7;12400000;76;The Snow Queen;5.1;47
3716946;2.676535;49;5000000;121;The Ballad of Cable Hogue;6.9;47
2000000;5.381536;72;7800000;118;Gentleman's Agreement;6.8;47
56000000;4.362535;16;12923936;214;Gods and Generals;6.1;48
16000000;2.848727;22;1686429;97;Steel;4.3;48
16000000;4.628525;10;11301649;120;Tidal Wave;6.5;48
14000000;5.102258;17;25482931;95;All About the Benjamins;5.8;48
7000000;7.034618;11;6230276;94;College;4.8;48
1000000;3.990215;18;10013424;97;Kissing Jessica Stein;5.9;48
38000000;5.516207;20;635096;138;Ride with the Devil;6.6;49
35866397;3.75074;18;20217080;98;Winged Migration;7;49
25000000;3.593165;10;2336172;114;Me and Orson Welles;6.6;49
24000000;3.113009;19;12372410;107;Ready to Rumble;4.7;49
90000000;3.593349;9;16178959;110;The Nutcracker: The Untold Story;5.4;50
18000000;1.138383;9;871279;338;Carlos;6.7;50
10000000;2.959547;39;15795189;99;The Long Riders;6.6;50
10000000;4.570043;17;598645;89;Swept Away;4.8;50
12000000;3.604863;13;20138836;122;The Namesake;6.8;50
7000000;6.872784;31;20256975;96;Action Jackson;4.9;50
4000000;8.988455;67;36000000;152;The Greatest Show on Earth;6.6;50
12000000;3.389249;36;30400000;132;Yentl;6.2;51
860000;3.703005;34;2451545;97;My Beautiful Laundrette;6.6;51
37000000;4.131546;22;6482195;118;Switchback;5.8;52
21000000;8.982335;17;10011050;117;Moonlight Mile;6.5;52
20000000;11.090254;21;18253415;114;Simon Birch;6.5;52
20000000;9.149089;15;16605763;84;Paparazzi;5.8;52
40000000;8.978408;11;7400000;125;The Children of Huang Shi;6.5;52
15000000;3.803495;11;317000;102;The Yellow Handkerchief;6.4;52
15000000;3.043589;13;21000000;95;Flicka;6.1;52
6000000;5.696491;20;4398989;95;Simply Irresistible;5.5;52
2000000;3.911445;15;120620;90;It's All Gone Pete Tong;7.1;52
35000000;3.503408;27;4651977;114;Radio Flyer;6.6;53
24000000;5.566203;20;8434146;124;Play It to the Bone;5.7;53
24000000;4.12064;18;14782676;89;Out Cold;5.8;53
2090000;4.289003;49;40000000;109;Beyond the Valley of the Dolls;6.6;53
1000000;0.748565;12;274661;106;Taxi to the Dark Side;6.6;53
38000000;4.746085;20;28121100;106;The Deep End of the Ocean;5.9;54
30000000;3.314094;15;14000000;110;Welcome to Mooseport;4.8;54
11000000;3.495758;18;23978402;86;Corky Romano;4.1;54
10000000;4.123533;8;1759252;98;A Better Life;7;54
44000000;5.380124;39;3484331;219;Heaven's Gate;6.4;55
35000000;6.727949;18;13678913;94;American Outlaws;5.7;55
23000000;6.921263;20;10827816;102;The End of the Affair;6.6;55
16000000;7.854989;18;29381649;130;Baby Boy;7.4;55
11000000;4.536745;12;13196245;90;I Think I Love My Wife;5;55
12000000;4.793348;10;10652498;132;City of Life and Death;7.6;55
5000000;4.149628;18;5476060;94;Made;6.3;55
5000000;2.732031;21;1980338;116;Zero Effect;6;55
40000000;3.296933;18;27053815;104;The Musketeer;5.2;56
30000000;3.845231;28;74787599;132;The Prince of Tides;5.9;56
23000000;5.494047;10;9366227;86;Cheri;5.9;56
6600000;4.492455;8;37710610;112;Jumping the Broom;6;56
7000000;7.051521;17;2062066;104;Auto Focus;6.1;56
850000;5.424916;16;819939;107;Latter Days;6.7;56
35000000;6.248273;11;43650785;114;Welcome Home Roscoe Jenkins;5.7;57
23000000;7.876883;10;5837674;139;Bodyguards and Assassins;6.5;57
12000000;4.234269;33;4884663;100;Invaders from Mars;5.5;57
25000000;4.068107;20;15156200;110;The Corruptor;6;57
4500000;2.551559;3;32000000;126;Airlift;7.3;57
24000000;2.753313;41;21049053;134;The Wiz;5.9;58
5000000;4.129165;16;742898;98;Party Monster;5.9;58
