Profit;popularity;Day_of_week;runtime;title;vote_average;vote_count
19392418;3.290639;4;100;A Low Down Dirty Shame;6;31
-9700000;2.849895;6;104;Elsa & Fred;3;31
19362712;3.501158;7;109;Brown Sugar;5,7;31
882290;6.41678;5;100;The Blood of Heroes;4,1;31
-5753859;2.550045;6;100;Losin' It;6,2;31
-5500000;3.21392;7;100;R100;6,2;31
161369;3.43159;6;109;In the Shadow of the Moon;7,1;31
-1346379;3.980072;6;92;Inside Deep Throat;4,6;31
967192;7.731064;7;97;L.I.E.;6,5;31
2611555;5.937602;5;119;Three;4,9;31
-32385720;2.817364;6;106;Against the Ropes;4,5;32
1170563;5.422285;6;105;ATL;6;32
-1400000;3.138118;6;125;De-Lovely;6,3;32
-4556684;3.033471;4;93;Home Fries;4,8;32
9001563;2.238646;5;117;Tea with Mussolini;5,8;32
6000000;3.89204;4;98;Tales from the Hood;5,2;32
-13312326;5.16023;6;129;Stonewall;5,6;32
-992798;1.260314;2;81;Special;3,3;32
-1000000;3.629777;6;105;Heli;4,9;32
-46000;1.447734;3;83;Osama;4,8;32
-62000;2.407048;1;82;The Brain That Wouldn't Die;5,8;32
-19694930;3.581906;6;107;Rapa Nui;6,2;33
-14250000;4.229942;3;188;The Fall of the Roman Empire;6;33
40184721;2.005111;6;113;Why Did I Get Married?;6,1;33
5292381;1.081822;6;86;Max Keeble's Big Move;5,4;33
2945242;4.056774;3;105;Romance & Cigarettes;6;33
-9000000;2.872281;6;128;All or Nothing;4,8;33
-5000000;3.05434;6;95;Decoys;3,8;33
6800000;3.851;4;100;Sands of Iwo Jima;7,5;33
-33500000;2.864979;6;173;Lion of the Desert;7,4;34
-25000000;1.492056;5;101;Blood and Wine;5,5;34
33082548;1.714972;6;90;The Crocodile Hunter: Collision Course;5,3;34
-10300000;2.259537;6;84;The Ladies Man;5,7;34
-9500000;5.346205;6;87;Re-Kill;7;34
19059640;5.537646;6;106;The Wood;5,5;34
-6000000;6.903186;7;99;The Greatest;5,9;34
10000000;7.288352;6;109;What the #$*! Do We (K)now!?;6,4;34
10422387;2.787375;5;115;Water;5,7;34
-2902660;1.35088;6;93;Griff the Invisible;8;34
-500000;2.391847;6;87;Detention of the Dead;5;34
11000000;3.721272;6;101;The Nativity Story;6,4;35
9109322;5.886228;6;88;Superbabies: Baby Geniuses 2;1,9;35
-2377154;5.759545;6;145;For Greater Glory - The True Story of Cristiada;6,4;35
-8650000;8.218383;5;120;Two Evil Eyes;5,8;35
10;1.537859;6;91;Bats;7;35
-4400000;3.898737;3;85;R.L. Stine's Monsterville: The Cabinet of Souls;8,2;35
8500000;2.938973;4;121;Harper;5,4;35
1109095;3.937939;4;117;Kama Sutra - A Tale of Love;5,2;35
5355847;1.86221;1;107;October Baby;6,7;35
-17800000;3.102987;6;118;My All American;6,8;36
-7000000;3.321095;2;154;55 Days at Peking;6,3;36
10637469;2.698185;6;116;Sparkle;5,8;36
-8224415;4.850402;2;100;Romeo Is Bleeding;6,6;36
-3853598;3.663108;6;113;Mondays in the Sun;6,4;36
-2896265;1.781462;6;93;Freakonomics;4,3;36
-1875506;1.892183;6;91;Six-String Samurai;5,9;36
-1800000;2.179428;3;118;The Crime of Padre Amaro;5,6;36
-300000;1.673208;1;73;Old Joy;7,6;36
-46000000;2.275331;6;105;What Planet Are You From?;5,4;37
-5097885;8.074807;6;94;Whatever It Takes;5;37
14400000;7.60445;3;144;Duel in the Sun;6,9;37
17159423;3.656491;3;104;The Man from Snowy River;6,5;37
-4217898;3.792015;2;90;Redacted;7;37
-3644312;3.238466;6;119;Another Happy Day;7,3;37
-3500000;3.158056;3;92;Wicked Blood;6,5;37
1842000;1.933366;5;89;42nd Street;6,9;37
-23800000;12.257654;1;140;Goodbye Bafana;7;38
-9100000;3.004432;4;90;Married Life;6,1;38
25573780;3.951041;6;120;The Best Man;6,3;38
-16728334;3.809131;6;104;Glitter;5,6;38
-3785127;3.490215;4;123;Major Dundee;6,7;38
-2600000;3.687574;6;97;Timber Falls;5,4;38
523525;4.442355;4;84;Conversations with Other Women;6,1;38
-225000;1.014966;6;98;Metropolitan;6,7;38
17519169;4.031585;5;103;Home for the Holidays;6,3;39
7409028;6.733485;6;103;Our Family Wedding;5,7;39
243649;2.079125;6;98;Happy, Texas;5,9;39
36600000;2.833166;1;128;Tom Jones;6,4;39
-3962091;3.415534;4;94;Hanging Up;5;40
-38000000;5.257009;6;99;Joe Somebody;5,5;40
5310554;2.366251;6;121;Won't Back Down;5,8;40
-7347125;3.949796;5;122;Beneath Hill 60;7,9;40
-157301;3.943706;6;121;90 Minutes in Heaven;7,3;40
-2392441;4.624691;4;90;Sleep Dealer;4,9;40
-29891652;4.065212;1;125;1911;5;41
34701637;4.189378;6;114;The Best Little Whorehouse in Texas;5,9;41
-4526667;3.011205;2;199;The Greatest Story Ever Told;6,5;41
-14979620;12.185204;5;93;The Good Night;5,7;41
-4649226;8.738737;6;79;PCU;6,8;41
-7946914;6.500835;4;112;Aloft;7,8;41
-5689327;3.120016;4;170;Hard to Be a God;6,3;41
7400000;6.734965;1;146;Elmer Gantry;7,3;41
-1377194;4.261509;6;96;Sherrybaby;5,4;41
4790000;2.043661;7;80;The Beast from 20,000 Fathoms;7,6;41
-50000;1.777148;7;47;The Call of Cthulhu;5,7;41
9600000;3.246903;6;193;Kabhi Alvida Naa Kehna;6,1;42
4671300;5.069095;5;116;Bon Cop Bad Cop;5,9;42
-6500000;2.163683;6;108;The Adventures of Huck Finn;5,1;42
31900000;4.028875;4;135;The Robe;7;42
-1;1.859965;6;95;Fear Clinic;6,6;42
-51337973;6.682006;5;88;Legends of Oz: Dorothy's Return;5,9;43
-572808;3.021835;6;96;Drowning Mona;5,4;43
-6457975;4.330428;4;86;For Your Consideration;5,9;43
